Date,Traffic Count
2008-01-31,37302.7419354839
2008-02-29,43385.724137931
2008-03-31,41738.0967741935
2008-04-30,36698.2
2008-05-31,36224.2903225806
2008-06-30,35563.5
2008-07-31,41158.0967741935
2008-08-31,40959.90322580651
2008-09-30,37236.0666666667
2008-10-31,37848.0
2008-11-30,33726.1
2008-12-31,37135.1290322581
2009-01-31,36735.3225806452
2009-02-28,40728.8214285714
2009-03-31,39837.8064516129
2009-04-30,39971.6333333333
2009-05-31,37222.5806451613
2009-06-30,37642.0333333333
2009-07-31,43157.77419354841
2009-08-31,42855.0322580645
2009-09-30,39853.5333333333
2009-10-31,39598.8709677419
2009-11-30,35327.16666666671
2009-12-31,37870.4193548387
2010-01-31,37054.64516129033
2010-02-28,42509.71428571428
2010-03-31,41502.51612903226
2010-04-30,41486.36666666667
2010-05-31,37556.87096774193
2010-06-30,38653.1
2010-07-31,44803.96774193548
2010-08-31,44111.64516129033
2010-09-30,41033.2
2010-10-31,40846.41935483871
2010-11-30,36134.76666666667
2010-12-31,37016.93548387097
2011-01-31,39728.3870967742
2011-02-28,42849.71428571428
2011-03-31,43571.35483870967
2011-04-30,42088.53333333333
2011-05-31,38550.67741935484
2011-06-30,41157.06666666667
2011-07-31,45724.0
2011-08-31,44545.54838709677
2011-09-30,43335.86666666667
2011-10-31,42735.09677419355
2011-11-30,38911.03333333333
2011-12-31,39258.16129032258
2012-01-31,39782.90322580645
2012-02-29,43636.03448275862
2012-03-31,44947.03225806452
2012-04-30,41242.93333333333
2012-05-31,40279.70967741936
2012-06-30,41554.0
2012-07-31,45711.93548387097
2012-08-31,45559.3870967742
2012-09-30,43444.96666666667
2012-10-31,41863.6129032258
2012-11-30,39666.8
2012-12-31,39106.06451612903
2013-01-31,40749.54838709677
2013-02-28,44363.82142857143
2013-03-31,45570.16129032258
2013-04-30,41584.4
2013-05-31,41772.29032258064
2013-06-30,
2013-07-31,46908.77419354839
2013-08-31,46846.87096774193
2013-09-30,44405.83333333334
2013-10-31,
2013-11-30,
2013-12-31,
2016-01-31,
2016-02-29,
2016-03-31,
2016-04-30,
2016-05-31,
2016-06-30,
2016-07-31,45471.5666666667
2016-08-31,51462.6774193548
2016-09-30,51198.7741935484
2016-10-31,48805.1666666667
2016-11-30,47984.1935483871
2016-12-31,
2017-01-31,
2017-01-31,
2017-02-28,
2017-03-31,
2017-04-30,
2017-05-31,
2017-06-30,
2017-07-31,
2017-08-31,48830.7096774194
2017-09-30,48272.5806451613
2017-10-31,46978.4333333333
2017-11-30,46526.0
2017-12-31,42473.8666666667
2018-01-31,42329.5483870968
2018-01-31,45144.4516129032
2018-02-28,50600.8214285714
2018-03-31,52129.8387096774
2018-04-30,50987.2666666667
2018-05-31,49131.935483871
2018-06-30,50198.9333333333
2018-07-31,52133.6129032258
2018-08-31,51612.5806451613
2018-09-30,50937.2666666667
2018-10-31,49314.064516129
2018-11-30,46385.9
2018-12-31,46517.3225806452
2019-01-31,45283.2903225806
2019-02-28,52918.2142857143
2019-03-31,52128.4516129032
2019-04-30,49033.7666666667
2019-05-31,46698.1935483871
2019-06-30,50956.1333333333
2019-07-31,52654.9677419355
2019-08-31,53007.3225806452
2019-09-30,50702.9
2019-10-31,49355.6451612903
2019-11-30,46491.7333333333
2019-12-31,48944.6129032258
2020-01-31,49014.6129032258
2020-02-29,53856.6896551724
2020-03-31,34055.4193548387
2020-04-30,23931.9666666667
2020-05-31,38080.2903225806
2020-06-30,45932.2
2020-07-31,55375.3870967742
2020-08-31,54178.2258064516
2020-09-30,51764.8
2020-10-31,48300.5806451613
2020-11-30,40999.0333333333
2020-12-31,43307.8709677419
2021-01-31,40958.3548387097
2021-02-28,47727.75
2021-03-31,47765.7741935484
2021-04-30,48077.8333333333
2021-05-31,46599.7096774194
2021-06-30,49526.4333333333
2021-07-31,54629.064516129
2021-08-31,56099.5806451613
2021-09-30,53449.6333333333
2021-10-31,53456.5806451613
2021-11-30,47755.2333333333
2021-12-31,47365.064516129
2022-01-31,47499.0
2022-02-28,54976.1428571429
2022-03-31,
2022-04-30,
2022-05-31,
2022-06-30,
2022-07-31,
2022-08-31,
2022-09-30,51126.2666666667
2022-10-31,51260.1612903226
2022-11-30,47733.4
2022-12-31,49316.6451612903
2023-01-31,49045.3870967742
2023-02-28,55266.4285714286
2023-03-31,51935.7741935484
2023-04-30,50721.0666666667
2023-05-31,50424.3548387097
2023-06-30,52588.7666666667
2023-07-31,55601.9677419355
2023-08-31,54934.6129032258
2023-09-30,54970.4
2023-10-31,52710.7096774194
2023-11-30,
2023-12-31,
