Traffic,PM10,NO2,PM2.5
115609.04832614212,19.879763066140967,50.14445260309264,12.804307229424449
116133.43244681651,20.127276362213156,49.89558811336005,12.769006798089782
116657.81656749091,20.374789658285348,49.64672362362745,12.733706366755113
117182.20068816532,20.622302954357536,49.39785913389486,12.698405935420446
117706.58480883972,20.869816250429725,49.148994644162265,12.66310550408578
118230.96892951411,21.117329546501914,48.900130154429675,12.62780507275111
118718.12751823013,20.115918026587288,50.69566666666666,12.75450872467086
119107.70336805006,20.666427465358094,49.69862499999999,12.564032044700129
119677.46335765491,21.82566315101361,48.159499999999994,12.456961987774886
120372.57639528933,22.752269660654157,46.91149303847138,12.366808382267871
120963.1544866872,23.241933638390723,46.640819410276094,12.309879320028928
121512.55063364061,23.552753376139396,45.92798607694277,12.395723193834998
122049.1282322069,23.74775636443887,45.40740274360943,12.432087065146877
122540.51801715315,23.825720656731722,46.08948607694277,12.38909893330935
123049.59825908866,23.50234536141342,46.66219441027609,12.41502341945813
123455.33038274458,23.2124215166122,46.24923607694276,12.34269219611196
123879.03611751161,23.16045486321785,46.93365274360942,12.161389960577981
124348.40179851519,23.110327571096327,48.01406941027609,12.192022001027265
124638.46631464422,23.06078099347411,48.7205694102761,12.37238659897214
124712.96405849983,23.012830013975215,48.52831941027609,12.356864361852955
124951.78303891454,22.96437176860847,48.21740274360943,12.247863712436102
125265.19477726579,22.912703800965247,48.86765970513805,12.15882827563863
125448.31216077831,22.862967752168977,50.18366666666667,12.105301349986888
125687.01704429084,22.815974540571496,52.516875,12.192956233073073
125888.84961597544,22.76814376803914,53.026125,12.227651687928095
126029.70983102922,22.718384911303165,52.79987500000001,12.183382056096773
126159.06525217617,22.668237882731724,52.63995833333334,12.207721266270184
126284.8386840758,22.61700704760212,52.659125,12.13288633518354
126383.40517153099,22.565069501624023,53.00233333333334,11.953931216188835
126307.73509984638,22.51501386629298,53.832125,11.990182602190703
126368.20552995392,22.465547649410613,54.363458333333334,12.170816656751175
126821.14375,22.417571420917767,56.02016666666666,12.151426611244183
127044.34272273425,22.368913830542677,57.459916666666665,12.040638575945767
126984.31064388121,22.317220910132075,56.39570833333333,11.952849925959045
127132.94388760881,22.26765518142738,55.79754166666666,11.90276376791875
127246.27157578085,22.22075628690819,54.969375,11.99209865362923
127295.7081349206,22.17284698391204,54.48258333333334,12.02502963818438
127405.1315220174,22.12304134985471,54.71991666666666,11.979475311553568
127508.83918330775,22.072890232000486,54.524875,12.002210475120922
127505.68259728624,22.021590165018083,54.12175,11.924982642344302
127565.89406682028,21.969684892687432,53.152833333333334,11.748562395857535
127932.42274065541,21.919701429692317,51.43183333333332,11.790355580215259
