Traffic,PM10,NO2,O3
29610.60109540972,21.541953397849547,38.67084169614513,40.46872440180061
29657.53909851903,22.04516779656793,38.542318003994225,40.77866336222495
29704.47710162835,22.548382195286315,38.41379431184331,41.088602322649294
29751.41510473766,23.051596594004696,38.285270619692405,41.398541283073634
29798.35310784698,23.55481099272308,38.1567469275415,41.70848024349798
29845.291110956292,24.058025391441465,38.028223235390584,42.01841920392232
30165.013576813748,24.372230180410963,37.38583532946176,42.53041666666666
30052.047299799608,25.082507673092113,37.245001996128416,43.34416666666665
29935.654947516643,25.785628408901104,37.13167165665692,44.26333333333333
29909.048271889398,26.11305498536229,37.03709131718543,43.43963349177449
29934.22788658474,26.359304985362286,37.71542465051876,42.604683650215655
29990.95333461341,27.00263831869562,38.6125079838521,42.728850316882315
30070.024212749613,27.594721652028955,38.527507983852104,43.120933650215655
30144.51883640552,27.958888318695625,38.02709131718544,43.44301698354898
30224.39535970301,28.37305498536229,36.94167465051876,44.61468365021565
30323.17510880695,29.887638318695622,36.030841317185434,45.324266983548995
30451.531246799783,30.619721652028954,35.61334131718543,46.21968365021565
30604.067492319497,28.797638318695615,36.045841317185435,46.76260031688231
30680.68173963132,26.30888831869562,37.41250798385211,46.948850316882314
30734.63335253455,24.37986082601448,38.817507983852096,45.69135031688233
30854.81480414745,22.535416666666666,39.75062899192605,43.73135031688233
30968.19486687147,21.76,41.68125,43.51296682510783
31043.634069380434,21.771249999999995,43.04666666666666,43.743750000000006
31100.12743855606,21.54541666666666,44.08,43.94833333333334
31145.62887224782,21.27625,45.42624999999999,43.38250000000001
31221.45010880696,20.25041666666667,45.74791666666666,41.72333333333333
31309.758800563235,19.23708333333333,45.838333333333324,39.656666666666666
31357.16292242703,17.68208333333333,45.477786113224084,38.935267641633764
31376.721210957498,17.011666666666667,45.121405559781515,39.42220194993419
31351.25530593958,17.648333333333337,44.61307222644818,39.14553528326752
31386.623585509467,18.015321352709158,44.01100421322718,38.431602546652655
31519.54745263696,18.92942432537346,43.146618079650246,39.07488680328627
31609.48744879672,20.234491529699767,42.53228830939472,40.196030290046004
31631.24748463901,20.574842175990103,41.08446425022372,40.49825056236362
31657.51558499744,20.589372156993825,39.921574743950124,40.59852536237403
31715.028129800306,20.53149652667495,38.542926748805165,40.61560212836351
31752.169706861238,20.400852158657962,37.26940203369081,40.91836686470094
31757.37131976447,20.98616381198048,37.21832191316425,41.93708103109952
31785.007744495644,21.256129957101464,37.32131568115229,42.57163096452462
31855.117287506404,21.258244000373207,37.7578443711095,42.574402009076366
31958.710163850486,21.07073092998342,38.078702915631546,41.33355371114852
32118.253309011772,20.861862522891485,38.52623851718914,40.387744516643714
32250.411911162315,21.13869920356702,38.10564220585988,40.293482642654844
32292.62015345534,21.910429564236054,37.56785759405453,40.871448386021235
32366.847212952664,22.24119569324308,37.427099952261116,41.58238823259483
32429.16898714621,21.896261713619406,37.70617401143213,41.12558462694389
32483.3496323075,21.537148399282355,38.4994801843724,40.94364316026682
32608.412221913233,21.836690696267897,39.43937817951737,40.858649727610654
32714.205994314674,22.10775173095155,39.88081956129839,40.690884991273236
32816.09040291682,21.461606744295697,39.42398301515827,40.675087491541326
32890.45326133976,20.803307265841386,39.118489247170224,39.606370891449544
32920.55536707452,20.60994322256964,38.95500777732226,38.488180157586186
32923.40747280929,20.26162295962609,38.97094645290946,37.3473587662024
32862.60904090965,19.647991366718024,39.27382751801853,36.7081679607072
32796.75234596871,19.133336679598088,40.04977190896868,37.34983303384025
32819.98026735612,18.199162709771,40.70645253376458,36.51251871498273
